legacy_url,route,language,type,draft_id,ordered_content,reference_fields
https://www.msm.digital/de/project/snakebyte-pebble-gear-social-media/,/de/cases/snakebyte-pebble-gear-social-media,de,caseStudy,drafts.case-msm-snakebyte-pebble-gear-social-media-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [fd83c6b5af8665c3],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-content-kreation-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""4306b63c9dbe2e5e""}, {""_type"": ""reference"", ""_ref"": ""service-msm-hashtaglove-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""d3bab37b06b7ea51""}, {""_type"": ""reference"", ""_ref"": ""service-msm-influencer-marketing-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""efd96d96d8224e11""}, {""_type"": ""reference"", ""_ref"": ""service-msm-social-media-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""b47b8a3c0832503d""}]}"
https://www.msm.digital/de/project/nespresso-okr-visualisierung/,/de/cases/nespresso-okr-visualisierung,de,caseStudy,drafts.case-msm-nespresso-okr-visualisierung-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [40eaac79afbbdaf0],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-pos-marketing-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""9ffa6c9573843237""}, {""_type"": ""reference"", ""_ref"": ""service-msm-strategy-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""c118d943d9b8a3bc""}]}"
https://www.msm.digital/de/project/can-do-marketingstrategie/,/de/cases/can-do-marketingstrategie,de,caseStudy,drafts.case-msm-can-do-marketingstrategie-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [8f7c11a2625e1362],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-development-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""d5188da632b002cd""}, {""_type"": ""reference"", ""_ref"": ""service-msm-strategy-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""c118d943d9b8a3bc""}]}"
https://www.msm.digital/de/project/avm-pos-optimierung/,/de/cases/avm-pos-optimierung,de,caseStudy,drafts.case-msm-avm-pos-optimierung-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [d794acb78a78cd88],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-pos-marketing-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""9ffa6c9573843237""}]}"
https://www.msm.digital/de/project/electrolux-showkuechen-rollout/,/de/cases/electrolux-showkuechen-rollout,de,caseStudy,drafts.case-msm-electrolux-showkuechen-rollout-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [932bf4b53fb3e80c],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-pos-marketing-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""9ffa6c9573843237""}]}"
https://www.msm.digital/de/project/warner-pr-experiential-events/,/de/cases/warner-pr-experiential-events,de,caseStudy,drafts.case-msm-warner-pr-experiential-events-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [d7b59b6458974399],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-experiential-marketing-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""33db4ef0c919ae34""}, {""_type"": ""reference"", ""_ref"": ""service-msm-pr-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""296402b40a12cba3""}]}"
https://www.msm.digital/de/project/ea-die-sims-tiktok-influencer-marketing/,/de/cases/ea-die-sims-tiktok-influencer-marketing,de,caseStudy,drafts.case-msm-ea-die-sims-tiktok-influencer-marketing-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [7122fa97cb13bac0],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-influencer-marketing-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""efd96d96d8224e11""}, {""_type"": ""reference"", ""_ref"": ""service-msm-social-media-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""b47b8a3c0832503d""}]}"
https://www.msm.digital/de/project/oculus-produkt-launch-europa/,/de/cases/oculus-produkt-launch-europa,de,caseStudy,drafts.case-msm-oculus-produkt-launch-europa-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [536cc462c42ccda0],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-experiential-marketing-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""33db4ef0c919ae34""}, {""_type"": ""reference"", ""_ref"": ""service-msm-pos-marketing-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""9ffa6c9573843237""}, {""_type"": ""reference"", ""_ref"": ""service-msm-pr-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""296402b40a12cba3""}, {""_type"": ""reference"", ""_ref"": ""service-msm-social-media-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""b47b8a3c0832503d""}, {""_type"": ""reference"", ""_ref"": ""service-msm-strategy-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""c118d943d9b8a3bc""}]}"
https://www.msm.digital/de/project/ea-sims4-influencer-marketing/,/de/cases/ea-sims4-influencer-marketing,de,caseStudy,drafts.case-msm-ea-sims4-influencer-marketing-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [df83ff07c0a2126f],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-pr-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""296402b40a12cba3""}, {""_type"": ""reference"", ""_ref"": ""service-msm-social-media-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""b47b8a3c0832503d""}, {""_type"": ""reference"", ""_ref"": ""service-msm-influencer-marketing-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""efd96d96d8224e11""}]}"
https://www.msm.digital/people/markus-oeller/,/people/markus-oeller,en,person,drafts.310067de-dcbc-42f4-8b42-99497ca82b6e,Profile header → MSM quote → I do → Ask me → Biography → Selected case gallery,{}
