File,Display name,SHA256,Width,Height,Action,Client ID,Cloudinary public ID,Review exception
Genigods_Lab.jpg,Genigods Lab,fb3c9ec4606a3e4736227c695447adb7b59f7abfc8f66d40e21b5f256ca316d6,200,111,new,client-renaissance-genigods-lab-en,renaissance/clients/v4/genigods-lab-fb3c9ec4606a,
Goose_Byte.jpg,Goose Byte,af63ae1d5b52f0ed4abbdd9d79cf51409f20b7bab1a64261c1c495efc90bd90a,171,200,new,client-renaissance-goose-byte-en,renaissance/clients/v4/goose-byte-af63ae1d5b52,
Grasshopper_Manufacture.jpg,Grasshopper Manufacture,6754eb6f888591498a4d4ae9063e3a1ff08932d805e76f616177131695ed6981,180,200,new,client-renaissance-grasshopper-manufacture-en,renaissance/clients/v4/grasshopper-manufacture-6754eb6f8885,
Green_Man_Gaming.jpg,Green Man Gaming,f3d680b3300b2d6398c6f661d1a60399305103d29a8146ddddc07db8195e5b42,200,200,new,client-renaissance-green-man-gaming-en,renaissance/clients/v4/green-man-gaming-f3d680b3300b,
Grinding_Gear_Games.jpg,Grinding Gear Games,dbc8a9df47f01cc9779db583828accb12c99a572702e6152bd02b3f569179984,200,113,new,client-renaissance-grinding-gear-games-en,renaissance/clients/v4/grinding-gear-games-dbc8a9df47f0,
Grip_Studios.jpg,Grip Studios,84ff2cb211ed5f6c26234b2a83505a59a0e9f8c8230ea61ae3525850c694583f,200,142,new,client-renaissance-grip-studios-en,renaissance/clients/v4/grip-studios-84ff2cb211ed,
Happy_Volcano.jpg,Happy Volcano,882570abcdb348bd728ade6f63b55c67642a71a491e48f7fdda34ce9e693f725,200,200,new,client-renaissance-happy-volcano-en,renaissance/clients/v4/happy-volcano-882570abcdb3,
Hook.jpg,HOOK,376104f77421f8bade3a1fd18b2ec429a8b617a128086c7dc22bafe90f409107,200,200,new,client-renaissance-hook-en,renaissance/clients/v4/hook-376104f77421,
Hyper_Luminal_Games.jpg,Hyper Luminal Games,4a684f8dbffb0ece10ca47c2fed2540546bfe6e4c14e16290ce0b8aa4dd69793,200,60,new,client-renaissance-hyper-luminal-games-en,renaissance/clients/v4/hyper-luminal-games-4a684f8dbffb,
IIDEA.jpg,IIDEA,5764a0f356f544af749fafc6efd192fcd6813857ac596ea62c10cda0fa8351cd,200,70,new,client-renaissance-iidea-en,renaissance/clients/v4/iidea-5764a0f356f5,
Infold_Games.jpg,Infold Games,a5587483672e6c50fb432c92a331ce2c8f8f97ff1cd486fff82676546644d07c,200,113,new,client-renaissance-infold-games-en,renaissance/clients/v4/infold-games-a5587483672e,
Italian_Games_Factory.jpg,Italian Games Factory,06966261d30f50cd0987b950f282802096de6a32a2bf72a23ebcd9eb29c7a137,200,148,new,client-renaissance-italian-games-factory-en,renaissance/clients/v4/italian-games-factory-06966261d30f,
Jackbox_Games.jpg,Jackbox Games,3ae466c9a04f1f2db0e40009d8d512680bd3933513265cbc95cd1b98a6a416c3,200,200,new,client-renaissance-jackbox-games-en,renaissance/clients/v4/jackbox-games-3ae466c9a04f,
Jagex.jpg,Jagex,d5251023f2fdbf1150b6b5fbe790115d419412f99b075db7eca17d84fd298814,200,200,new,client-renaissance-jagex-en,renaissance/clients/v4/jagex-d5251023f2fd,
Joystick_Ventures.jpg,Joystick Ventures,08918a3b22fcf864a3c18c8692ea873e4573c2e34af0963ab9ec96a7591064f1,200,200,new,client-renaissance-joystick-ventures-en,renaissance/clients/v4/joystick-ventures-08918a3b22fc,
Kepler_Interactive.jpg,Kepler Interactive,9bce0e846fbc6dbb405e35ae9bbbc211b1e20bc649c4c64eee2eb686a1f5d59e,200,200,new,client-renaissance-kepler-interactive-en,renaissance/clients/v4/kepler-interactive-9bce0e846fbc,
Kinda_Brave.jpg,Kinda Brave,0d0aa3bdfdf78ccd3eb7bfd3e3e6ca4f4c53a4d357d93c9af256410def06f421,200,200,new,client-renaissance-kinda-brave-en,renaissance/clients/v4/kinda-brave-0d0aa3bdfdf7,
Koei_Tecmo.jpg,Koei Tecmo,c3736b20043e1e30bbffc7c2b4870209c8f1f4a6e3d356d3ffeefab8d4b621f4,200,200,new,client-renaissance-koei-tecmo-en,renaissance/clients/v4/koei-tecmo-c3736b20043e,
Kuro_Games.jpg,Kuro Games,12108ab40a9fbddaac073bbfa82b0c3bee5fb74b49993ca7da3cfc8ea790b82e,200,67,new,client-renaissance-kuro-games-en,renaissance/clients/v4/kuro-games-12108ab40a9f,
Kwalee.jpg,Kwalee,33bf263757b99c50516e28db5e4d75fc6d125d3b4e98acd977df7d4dde30f452,200,52,new,client-renaissance-kwalee-en,renaissance/clients/v4/kwalee-33bf263757b9,
LKA.jpg,LKA,f97cddf513dc539b485e376a0482db558a42379549e0af6c7e6837e4a614b41a,200,200,new,client-renaissance-lka-en,renaissance/clients/v4/lka-f97cddf513dc,
Leonardo_Interactive.jpg,Leonardo Interactive,462d0085dbf4c91211580c4034ec8487583264b5b8294e815b61a2f96c45f03e,200,200,new,client-renaissance-leonardo-interactive-en,renaissance/clients/v4/leonardo-interactive-462d0085dbf4,
Level_Infinite.jpg,Level Infinite,8e65efe6f39c08540f049612b3428ccbc3851601d7660c25bfb48d5f8e69a959,200,111,new,client-renaissance-level-infinite-en,renaissance/clients/v4/level-infinite-8e65efe6f39c,
Lilith_Games.jpg,Lilith Games,eedc8958511c8e05c43570fd3b039fd24dd72f2c8cd6e707f6091429ef03be59,200,82,new,client-renaissance-lilith-games-en,renaissance/clients/v4/lilith-games-eedc8958511c,
Limit_Break.jpg,Limit Break,9eaf1e59d9b7b3f71bf4683b3a83791788b7d250e336ec7d6322529ab240d611,200,75,held,,,Artwork names Limit Break Mentorship; verify intended identity.
Lost_In_Cult.jpg,Lost In Cult,6f035cd51f0a3aa9bbb470f3d068106a058400d2a6aababad1b624754922edec,200,150,new,client-renaissance-lost-in-cult-en,renaissance/clients/v4/lost-in-cult-6f035cd51f0a,
Maze_Theory.jpg,Maze Theory,2d500292ee95667d4544ecf690ef8eb408f4a87da47d23acb33116293dcba5a1,182,117,new,client-renaissance-maze-theory-en,renaissance/clients/v4/maze-theory-2d500292ee95,
Milestone.jpg,Milestone,823c9c5e20d622fefbab0b42e53b45ccfc6edb1a50550520d8cc4a801cd83cb2,200,200,new,client-renaissance-milestone-en,renaissance/clients/v4/milestone-823c9c5e20d6,
